Acadia,-68.21,44.35,0
National Park of American Samoa,-170.68,-14.25,0
Arches,-109.57,38.68,0
Badlands,-102.5,43.75,0
Big Bend,-103.25,29.25,0
Biscayne,-80.08,25.65,0
Black Canyon of the Gunnison,-107.72,38.57,0
Bryce Canyon,-112.18,37.57,0
Canyonlands,-109.93,38.2,0
Capitol Reef,-111.17,38.2,0
Carlsbad Caverns,-104.44,32.17,0
Channel Islands,-119.42,34.01,0
Congaree,-80.78,33.78,0
Crater Lake,-122.1,42.94,0
Cuyahoga Valley,-81.55,41.24,0
Death Valley,-116.82,36.24,0
Denali,-150.5,63.33,0
Dry Tortugas,-82.87,24.63,0
Everglades,-80.93,25.32,0
Gates of the Arctic,-153.3,67.78,0
Gateway Arch,-90.19,38.63,0
Glacier,-114,48.8,0
Glacier Bay,-137,58.5,0
Grand Canyon,-112.14,36.06,0
Grand Teton,-110.8,43.73,0
Great Basin,-114.3,38.98,0
Great Sand Dunes,-105.51,37.73,0
Great Smoky Mountains,-83.53,35.68,0
Guadalupe Mountains,-104.87,31.92,0
Haleakalā,-156.17,20.72,0
Hawaiʻi Volcanoes,-155.2,19.38,0
Hot Springs,-93.05,34.51,0
Indiana Dunes,-87.0524,41.6533,0
Isle Royale,-88.55,48.1,0
Joshua Tree,-115.9,33.79,0
Katmai,-155,58.5,0
Kenai Fjords,-149.65,59.92,0
Kings Canyon,-118.55,36.8,0
Kobuk Valley,-159.28,67.55,0
Lake Clark,-153.42,60.97,0
Lassen Volcanic,-121.51,40.49,0
Mammoth Cave,-86.1,37.18,0
Mesa Verde,-108.49,37.18,0
Mount Rainier,-121.75,46.85,0
New River Gorge,-81.08,38.07,0
North Cascades,-121.2,48.7,0
Olympic,-123.5,47.97,0
Petrified Forest,-109.78,35.07,0
Pinnacles,-121.16,36.48,0
Redwood,-124,41.3,0
Rocky Mountain,-105.58,40.4,0
Saguaro,-110.5,32.25,0
Sequoia,-118.68,36.43,0
Shenandoah,-78.35,38.53,0
Theodore Roosevelt,-103.45,46.97,0
Virgin Islands,-64.73,18.33,0
Voyageurs,-92.88,48.5,0
White Sands,-106.17,32.78,0
Wind Cave,-103.48,43.57,0
Wrangell – St. Elias,-142,61,0
Yellowstone,-110.5,44.6,0
Yosemite,-119.5,37.83,0
Zion,-113.05,37.3,0
